file,match,date,stage,q_num,question_text,category,our_estimate,crowd_estimate,outcome,rbp,beat_crowd,final_score,match_rbp_total
arg_aut_2026-06-22.json,ARG-AUT,2026-06-22,,1,,,0.28,0.45,1,-19.17,False,ARG 2-0 AUT,
arg_aut_2026-06-22.json,ARG-AUT,2026-06-22,,2,,,0.4,0.48,0,9.9,True,ARG 2-0 AUT,
arg_aut_2026-06-22.json,ARG-AUT,2026-06-22,,3,,,0.12,0.27,0,8.22,True,ARG 2-0 AUT,
arg_aut_2026-06-22.json,ARG-AUT,2026-06-22,,4,,,0.44,0.51,0,8.29,True,ARG 2-0 AUT,
arg_aut_2026-06-22.json,ARG-AUT,2026-06-22,,5,,,0.16,0.3,1,-19.91,False,ARG 2-0 AUT,
arg_aut_2026-06-22.json,ARG-AUT,2026-06-22,,6,,,0.52,0.44,1,10.46,True,ARG 2-0 AUT,
arg_aut_2026-06-22.json,ARG-AUT,2026-06-22,,7,,,0.65,0.54,0,-9.9,False,ARG 2-0 AUT,
arg_aut_2026-06-22.json,ARG-AUT,2026-06-22,,8,,,0.68,0.68,1,1.74,True,ARG 2-0 AUT,
arg_aut_2026-06-22.json,ARG-AUT,2026-06-22,,9,,,0.18,0.43,1,-31.86,False,ARG 2-0 AUT,
bel_egy_2026-06-15.json,BEL-EGY,2026-06-15,,1,Will Egypt commit more fouls than Belgium?,tier2_realdata,0.46,0.59,0,15.47,True,Belgium 1 - 1 Egypt,63.72
bel_egy_2026-06-15.json,BEL-EGY,2026-06-15,,2,Will there be 2 or more total cards shown in the second half?,tier1_market_blended,0.6,0.58,0,0.75,False,Belgium 1 - 1 Egypt,63.72
bel_egy_2026-06-15.json,BEL-EGY,2026-06-15,,3,Will both teams score AND the match have 3 or more total goals?,tier1_market,0.38,0.41,0,5.79,True,Belgium 1 - 1 Egypt,63.72
bel_egy_2026-06-15.json,BEL-EGY,2026-06-15,,4,Will Egypt have more shots on target than Belgium in the second half?,tier2_realdata,0.11,0.31,0,10.71,True,Belgium 1 - 1 Egypt,63.72
bel_egy_2026-06-15.json,BEL-EGY,2026-06-15,,5,Will there be 4 or more total shots on target in the second half?,tier2_realdata,0.78,0.64,1,10.28,True,Belgium 1 - 1 Egypt,63.72
bel_egy_2026-06-15.json,BEL-EGY,2026-06-15,,6,Will Belgium be caught offside 2 or more times?,tier2_realdata,0.54,0.5,0,-1.57,False,Belgium 1 - 1 Egypt,63.72
bel_egy_2026-06-15.json,BEL-EGY,2026-06-15,,7,Will Belgium win the match?,match_winner_deferred_market,0.61,0.66,0,8.23,True,Belgium 1 - 1 Egypt,63.72
bel_egy_2026-06-15.json,BEL-EGY,2026-06-15,,8,"At halftime, will the match be tied?",tier1_market,0.41,0.42,0,2.61,True,Belgium 1 - 1 Egypt,63.72
bel_egy_2026-06-15.json,BEL-EGY,2026-06-15,,9,Will Youri Tielemans have at least 1 shot on target?,tier1_market,0.38,0.44,0,8.28,True,Belgium 1 - 1 Egypt,63.72
bel_egy_2026-06-15.json,BEL-EGY,2026-06-15,,10,Will Mahmoud Trezeguet score or assist a goal (excluding own goals)?,tier1_market,0.25,0.26,0,3.18,True,Belgium 1 - 1 Egypt,63.72
bel_irn_2026-06-21.json,BEL-IRN,2026-06-21,,1,,,0.45,0.58,1,-10.51,False,BEL 0-0 IRN,9.63
bel_irn_2026-06-21.json,BEL-IRN,2026-06-21,,2,,,0.44,0.56,0,14.44,True,BEL 0-0 IRN,9.63
bel_irn_2026-06-21.json,BEL-IRN,2026-06-21,,3,,,0.37,0.38,0,2.9,True,BEL 0-0 IRN,9.63
bel_irn_2026-06-21.json,BEL-IRN,2026-06-21,,4,,,0.72,0.66,1,5.6,True,BEL 0-0 IRN,9.63
bel_irn_2026-06-21.json,BEL-IRN,2026-06-21,,5,,,0.61,0.63,1,0.65,True,BEL 0-0 IRN,9.63
bel_irn_2026-06-21.json,BEL-IRN,2026-06-21,,6,,,0.7,0.69,0,-0.25,False,BEL 0-0 IRN,9.63
bel_irn_2026-06-21.json,BEL-IRN,2026-06-21,,7,,,0.52,0.5,0,0.32,True,BEL 0-0 IRN,9.63
bel_irn_2026-06-21.json,BEL-IRN,2026-06-21,,8,,,0.38,0.43,1,-3.33,False,BEL 0-0 IRN,9.63
bel_irn_2026-06-21.json,BEL-IRN,2026-06-21,,9,,,0.27,0.31,0,4.14,True,BEL 0-0 IRN,9.63
bel_irn_2026-06-21.json,BEL-IRN,2026-06-21,,10,,,0.58,0.52,0,-4.32,False,BEL 0-0 IRN,9.63
bra_hai_2026-06-20.json,BRA-HAI,2026-06-20,,1,,,0.25,0.35,0,8.56,True,BRA 3-0 HAI,-32.11
bra_hai_2026-06-20.json,BRA-HAI,2026-06-20,,2,,,0.1,0.4,1,-42.56,False,BRA 3-0 HAI,-32.11
bra_hai_2026-06-20.json,BRA-HAI,2026-06-20,,3,,,0.58,0.54,1,7.4,True,BRA 3-0 HAI,-32.11
bra_hai_2026-06-20.json,BRA-HAI,2026-06-20,,4,,,0.22,0.32,1,-12.03,False,BRA 3-0 HAI,-32.11
bra_hai_2026-06-20.json,BRA-HAI,2026-06-20,,5,,,0.55,0.55,1,1.8,False,BRA 3-0 HAI,-32.11
bra_hai_2026-06-20.json,BRA-HAI,2026-06-20,,6,,,0.88,0.86,1,1.9,True,BRA 3-0 HAI,-32.11
bra_hai_2026-06-20.json,BRA-HAI,2026-06-20,,7,,,0.85,0.78,0,-10.2,False,BRA 3-0 HAI,-32.11
bra_hai_2026-06-20.json,BRA-HAI,2026-06-20,,8,,,0.38,0.41,1,0.18,False,BRA 3-0 HAI,-32.11
bra_hai_2026-06-20.json,BRA-HAI,2026-06-20,,9,,,0.64,0.59,1,6.36,True,BRA 3-0 HAI,-32.11
bra_hai_2026-06-20.json,BRA-HAI,2026-06-20,,10,,,0.25,0.3,0,6.46,True,BRA 3-0 HAI,-32.11
bra_mar_2026-06-13.json,BRA-MAR,2026-06-13,,1,Will Brazil be caught offside 2 or more times?,tier2_realdata,0.43,0.59,0,20.36,True,Brazil 1 - 1 Morocco,-16.33
bra_mar_2026-06-13.json,BRA-MAR,2026-06-13,,2,Will Morocco commit more fouls than Brazil?,tier2_realdata,0.64,0.61,0,-0.44,False,Brazil 1 - 1 Morocco,-16.33
bra_mar_2026-06-13.json,BRA-MAR,2026-06-13,,3,Will Morocco score the first goal of the second half?,tier2_realdata,0.35,0.32,0,0.47,False,Brazil 1 - 1 Morocco,-16.33
bra_mar_2026-06-13.json,BRA-MAR,2026-06-13,,4,Will Brazil score more goals than Morocco in the second half?,tier1_market_deviated,0.58,0.55,0,0.47,False,Brazil 1 - 1 Morocco,-16.33
bra_mar_2026-06-13.json,BRA-MAR,2026-06-13,,5,Will Morocco have more shots on target than Brazil in the second half?,tier2_realdata,0.23,0.33,0,8.46,True,Brazil 1 - 1 Morocco,-16.33
bra_mar_2026-06-13.json,BRA-MAR,2026-06-13,,6,Will Brazil receive more cards than Morocco?,tier1_market_deviated,0.41,0.39,1,4.72,True,Brazil 1 - 1 Morocco,-16.33
bra_mar_2026-06-13.json,BRA-MAR,2026-06-13,,7,Will both teams score AND the match have 3 or more total goals?,tier1_market_deviated,0.4,0.47,0,10.79,True,Brazil 1 - 1 Morocco,-16.33
bra_mar_2026-06-13.json,BRA-MAR,2026-06-13,,8,Will Brazil win the match?,match_winner_gut_override,1.0,0.67,0,-51.97,False,Brazil 1 - 1 Morocco,-16.33
bra_mar_2026-06-13.json,BRA-MAR,2026-06-13,,9,Will Morocco have 5 or more corner kicks?,tier1_market_deviated,0.42,0.38,0,0.34,False,Brazil 1 - 1 Morocco,-16.33
bra_mar_2026-06-13.json,BRA-MAR,2026-06-13,,10,Will the match be tied at halftime?,tier1_market_deviated,0.32,0.42,1,-9.52,False,Brazil 1 - 1 Morocco,-16.33
can_bih_2026-06-12.json,CAN vs BIH,2026-06-12,,1,BIH fouls > Canada,tier2_realdata,0.67,0.64,1,5.08,True,Canada 1 - 1 Bosnia-Herzegovina,42.65
can_bih_2026-06-12.json,CAN vs BIH,2026-06-12,,2,4+ 2H total SOT,tier2_realdata,0.7,0.59,1,11.76,True,Canada 1 - 1 Bosnia-Herzegovina,42.65
can_bih_2026-06-12.json,CAN vs BIH,2026-06-12,,3,Penalty OR red card,compound_market_proxy,0.43,0.41,0,2.8,False,Canada 1 - 1 Bosnia-Herzegovina,42.65
can_bih_2026-06-12.json,CAN vs BIH,2026-06-12,,4,Canada win,match_winner_internal_model,0.75,0.62,0,-14.53,False,Canada 1 - 1 Bosnia-Herzegovina,42.65
can_bih_2026-06-12.json,CAN vs BIH,2026-06-12,,5,HT tied,tier1_market,0.46,0.47,0,3.86,True,Canada 1 - 1 Bosnia-Herzegovina,42.65
can_bih_2026-06-12.json,CAN vs BIH,2026-06-12,,6,2H 2+ goals,tier1_market,0.37,0.38,0,4.47,True,Canada 1 - 1 Bosnia-Herzegovina,42.65
can_bih_2026-06-12.json,CAN vs BIH,2026-06-12,,7,BIH 5+ corners,stats_proxy,0.27,0.36,0,9.46,True,Canada 1 - 1 Bosnia-Herzegovina,42.65
can_bih_2026-06-12.json,CAN vs BIH,2026-06-12,,8,Jonathan David scores,tier1_market,0.33,0.38,0,6.88,True,Canada 1 - 1 Bosnia-Herzegovina,42.65
can_bih_2026-06-12.json,CAN vs BIH,2026-06-12,,9,Dzeko 1+ SOT,tier2_realdata,0.6,0.58,0,2.89,False,Canada 1 - 1 Bosnia-Herzegovina,42.65
can_bih_2026-06-12.json,CAN vs BIH,2026-06-12,,10,BIH score in 2H,tier1_market,0.37,0.44,0,9.98,True,Canada 1 - 1 Bosnia-Herzegovina,42.65
can_qat_2026-06-18.json,CAN-QAT,2026-06-18,,1,,,0.6,0.575,1,,True,CAN 6-0 QAT,61.88
can_qat_2026-06-18.json,CAN-QAT,2026-06-18,,2,,,0.62,0.587,1,,True,CAN 6-0 QAT,61.88
can_qat_2026-06-18.json,CAN-QAT,2026-06-18,,3,,,0.38,0.447,1,,False,CAN 6-0 QAT,61.88
can_qat_2026-06-18.json,CAN-QAT,2026-06-18,,4,,,0.44,0.477,,,,CAN 6-0 QAT,61.88
can_qat_2026-06-18.json,CAN-QAT,2026-06-18,,5,,,0.77,0.7,1,,True,CAN 6-0 QAT,61.88
can_qat_2026-06-18.json,CAN-QAT,2026-06-18,,6,,,0.58,0.56,1,,True,CAN 6-0 QAT,61.88
can_qat_2026-06-18.json,CAN-QAT,2026-06-18,,7,,,0.75,0.7,1,,True,CAN 6-0 QAT,61.88
can_qat_2026-06-18.json,CAN-QAT,2026-06-18,,8,,,0.13,0.2,0,,True,CAN 6-0 QAT,61.88
can_qat_2026-06-18.json,CAN-QAT,2026-06-18,,9,,,0.22,0.343,0,,True,CAN 6-0 QAT,61.88
can_qat_2026-06-18.json,CAN-QAT,2026-06-18,,10,,,0.31,0.37,0,,True,CAN 6-0 QAT,61.88
civ_ecu_2026-06-14.json,CIV-ECU,2026-06-14,,1,Will Ecuador commit more fouls than Ivory Coast?,tier2_realdata_RULE8_shrunk,0.57,0.52,1,6.97,True,Cote d'Ivoire 1 - 0 Ecuador,19.86
civ_ecu_2026-06-14.json,CIV-ECU,2026-06-14,,2,"At halftime, will Ecuador have more corner kicks than Ivory Coast?",tier2_realdata_market_blended,0.42,0.48,0,8.42,True,Cote d'Ivoire 1 - 0 Ecuador,19.86
civ_ecu_2026-06-14.json,CIV-ECU,2026-06-14,,3,Will Ivory Coast be caught offside 2 or more times?,tier2_realdata,0.41,0.49,0,9.97,True,Cote d'Ivoire 1 - 0 Ecuador,19.86
civ_ecu_2026-06-14.json,CIV-ECU,2026-06-14,,4,Will Ecuador have more shots on target than Ivory Coast in the second half?,tier2_realdata,0.48,0.5,0,2.0,True,Cote d'Ivoire 1 - 0 Ecuador,19.86
civ_ecu_2026-06-14.json,CIV-ECU,2026-06-14,,5,Will the second half have more total goals than the first half?,tier1_market,0.4,0.51,1,-9.02,False,Cote d'Ivoire 1 - 0 Ecuador,19.86
civ_ecu_2026-06-14.json,CIV-ECU,2026-06-14,,6,Will Ivory Coast win the match?,tier1_market_match_winner_deferred,0.29,0.34,1,-7.0,False,Cote d'Ivoire 1 - 0 Ecuador,19.86
civ_ecu_2026-06-14.json,CIV-ECU,2026-06-14,,7,Will Ivory Coast score in the second half?,tier1_market,0.41,0.45,1,-2.57,False,Cote d'Ivoire 1 - 0 Ecuador,19.86
civ_ecu_2026-06-14.json,CIV-ECU,2026-06-14,,8,Will there be 4 or more total cards shown?,tier1_market,0.54,0.52,1,4.43,True,Cote d'Ivoire 1 - 0 Ecuador,19.86
civ_ecu_2026-06-14.json,CIV-ECU,2026-06-14,,9,Will Ibrahim Sangare have at least 1 shot on target?,stats_proxy,0.18,0.33,0,8.0,True,Cote d'Ivoire 1 - 0 Ecuador,19.86
cro_pan_2026-06-23.json,Croatia vs Panama,2026-06-23,L,1,Panama 2+ offsides,,0.32,0.44,0,11.69,True,0-1 (Croatia wins),-0.47
cro_pan_2026-06-23.json,Croatia vs Panama,2026-06-23,L,2,Panama more 2H SOT than Croatia,,0.3,0.27,0,0.39,True,0-1 (Croatia wins),-0.47
cro_pan_2026-06-23.json,Croatia vs Panama,2026-06-23,L,3,Croatia first goal of 2H,,0.42,0.54,1,-9.8,False,0-1 (Croatia wins),-0.47
cro_pan_2026-06-23.json,Croatia vs Panama,2026-06-23,L,4,Panama more fouls than Croatia,,0.5,0.57,1,-4.7,False,0-1 (Croatia wins),-0.47
cro_pan_2026-06-23.json,Croatia vs Panama,2026-06-23,L,5,Croatia more cards than Panama,,0.38,0.36,0,-0.14,False,0-1 (Croatia wins),-0.47
cro_pan_2026-06-23.json,Croatia vs Panama,2026-06-23,L,6,Panama scores ≥1 goal,,0.55,0.5,0,-3.09,False,0-1 (Croatia wins),-0.47
cro_pan_2026-06-23.json,Croatia vs Panama,2026-06-23,L,7,9+ total corners,,0.3,0.51,1,-21.77,False,0-1 (Croatia wins),-0.47
cro_pan_2026-06-23.json,Croatia vs Panama,2026-06-23,L,8,Panama 3+ SOT,,0.45,0.49,0,6.8,True,0-1 (Croatia wins),-0.47
cro_pan_2026-06-23.json,Croatia vs Panama,2026-06-23,L,9,Fajardo ≥1 SOT,,0.28,0.4,0,10.62,True,0-1 (Croatia wins),-0.47
cro_pan_2026-06-23.json,Croatia vs Panama,2026-06-23,L,10,Luka Sučić ≥1 SOT,,0.3,0.37,0,9.53,True,0-1 (Croatia wins),-0.47
cze_mex_2026-06-24.json,Czechia vs Mexico,2026-06-24,Group A — GD3,1,CZE more fouls than MEX,,0.62,0.56,0,-5.25,False,Czechia 0-3 Mexico,-6.01
cze_mex_2026-06-24.json,Czechia vs Mexico,2026-06-24,Group A — GD3,2,MEX 2+ offsides,,0.58,0.5,0,-6.51,False,Czechia 0-3 Mexico,-6.01
cze_mex_2026-06-24.json,Czechia vs Mexico,2026-06-24,Group A — GD3,3,CZE more 2H SOT than MEX,,0.28,0.38,0,9.02,True,Czechia 0-3 Mexico,-6.01
cze_mex_2026-06-24.json,Czechia vs Mexico,2026-06-24,Group A — GD3,4,MEX more corners,,0.52,0.54,0,4.72,True,Czechia 0-3 Mexico,-6.01
cze_mex_2026-06-24.json,Czechia vs Mexico,2026-06-24,Group A — GD3,5,BTTS AND 3+ goals,,0.32,0.37,0,5.66,True,Czechia 0-3 Mexico,-6.01
cze_mex_2026-06-24.json,Czechia vs Mexico,2026-06-24,Group A — GD3,6,CZE win,,0.3,0.27,0,0.31,True,Czechia 0-3 Mexico,-6.01
cze_mex_2026-06-24.json,Czechia vs Mexico,2026-06-24,Group A — GD3,7,CZE score in 2H,,0.38,0.44,0,6.88,True,Czechia 0-3 Mexico,-6.01
cze_mex_2026-06-24.json,Czechia vs Mexico,2026-06-24,Group A — GD3,8,4+ total cards,,0.45,0.47,0,4.58,True,Czechia 0-3 Mexico,-6.01
cze_mex_2026-06-24.json,Czechia vs Mexico,2026-06-24,Group A — GD3,9,Schick 1+ SOT,,0.48,0.47,0,-25.42,False,Czechia 0-3 Mexico,-6.01
ecu_cur_2026-06-21.json,ECU-CUR,2026-06-21,,1,,,0.56,0.56,0,2.88,False,ECU 0-0 CUW,35.87
ecu_cur_2026-06-21.json,ECU-CUR,2026-06-21,,2,,,0.28,0.44,0,14.27,True,ECU 0-0 CUW,35.87
ecu_cur_2026-06-21.json,ECU-CUR,2026-06-21,,3,,,0.46,0.5,0,6.24,True,ECU 0-0 CUW,35.87
ecu_cur_2026-06-21.json,ECU-CUR,2026-06-21,,4,,,0.17,0.27,0,7.63,True,ECU 0-0 CUW,35.87
ecu_cur_2026-06-21.json,ECU-CUR,2026-06-21,,5,,,0.44,0.39,0,-2.34,False,ECU 0-0 CUW,35.87
ecu_cur_2026-06-21.json,ECU-CUR,2026-06-21,,6,,,0.4,,,,,ECU 0-0 CUW,35.87
ecu_cur_2026-06-21.json,ECU-CUR,2026-06-21,,7,,,0.87,0.8,0,-9.29,False,ECU 0-0 CUW,35.87
ecu_cur_2026-06-21.json,ECU-CUR,2026-06-21,,8,,,0.61,0.57,0,-2.47,False,ECU 0-0 CUW,35.87
ecu_cur_2026-06-21.json,ECU-CUR,2026-06-21,,9,,,0.76,0.63,1,11.1,True,ECU 0-0 CUW,35.87
ecu_cur_2026-06-21.json,ECU-CUR,2026-06-21,,10,,,0.38,0.35,1,7.83,True,ECU 0-0 CUW,35.87
eng_cro_2026-06-17.json,ENG-CRO,2026-06-17,,1,,,0.2,0.35,0,10.15,True,ENG 4-2 CRO,1.23
eng_cro_2026-06-17.json,ENG-CRO,2026-06-17,,2,,,0.26,0.45,0,15.73,True,ENG 4-2 CRO,1.23
eng_cro_2026-06-17.json,ENG-CRO,2026-06-17,,3,,,0.76,0.72,1,4.42,True,ENG 4-2 CRO,1.23
eng_cro_2026-06-17.json,ENG-CRO,2026-06-17,,4,,,0.37,0.41,1,-1.83,False,ENG 4-2 CRO,1.23
eng_cro_2026-06-17.json,ENG-CRO,2026-06-17,,5,,,0.35,0.36,1,0.54,True,ENG 4-2 CRO,1.23
eng_cro_2026-06-17.json,ENG-CRO,2026-06-17,,6,,,0.15,0.43,0,18.82,True,ENG 4-2 CRO,1.23
eng_cro_2026-06-17.json,ENG-CRO,2026-06-17,,7,,,0.2,0.59,1,-44.54,False,ENG 4-2 CRO,1.23
eng_cro_2026-06-17.json,ENG-CRO,2026-06-17,,8,,,0.6,0.62,1,0.12,True,ENG 4-2 CRO,1.23
eng_cro_2026-06-17.json,ENG-CRO,2026-06-17,,9,,,0.59,0.6,1,1.24,True,ENG 4-2 CRO,1.23
eng_cro_2026-06-17.json,ENG-CRO,2026-06-17,,10,,,0.43,0.34,0,-3.42,False,ENG 4-2 CRO,1.23
eng_gha_2026-06-23.json,England vs Ghana,2026-06-23,Group L,1,,,0.23,0.61,0,35.5,True,0-0,44.4
eng_gha_2026-06-23.json,England vs Ghana,2026-06-23,Group L,2,,,0.58,0.61,1,0.09,True,0-0,44.4
eng_gha_2026-06-23.json,England vs Ghana,2026-06-23,Group L,3,,,0.52,0.66,1,-9.28,False,0-0,44.4
eng_gha_2026-06-23.json,England vs Ghana,2026-06-23,Group L,4,,,0.3,0.37,0,7.51,True,0-0,44.4
eng_gha_2026-06-23.json,England vs Ghana,2026-06-23,Group L,5,,,0.45,0.37,0,-4.09,False,0-0,44.4
eng_gha_2026-06-23.json,England vs Ghana,2026-06-23,Group L,6,,,0.18,0.22,0,3.6,True,0-0,44.4
eng_gha_2026-06-23.json,England vs Ghana,2026-06-23,Group L,7,,,0.86,0.8,0,-7.56,False,0-0,44.4
eng_gha_2026-06-23.json,England vs Ghana,2026-06-23,Group L,8,,,0.68,0.65,0,-0.71,False,0-0,44.4
eng_gha_2026-06-23.json,England vs Ghana,2026-06-23,Group L,9,,,0.28,0.45,0,15.14,True,0-0,44.4
eng_gha_2026-06-23.json,England vs Ghana,2026-06-23,Group L,10,,,0.25,0.28,0,4.19,True,0-0,44.4
esp_ksa_2026-06-21.json,ESP-KSA,2026-06-21,,1,,,0.33,0.42,1,-7.12,False,4-0,37.39
esp_ksa_2026-06-21.json,ESP-KSA,2026-06-21,,2,,,0.88,0.75,1,7.16,True,4-0,37.39
esp_ksa_2026-06-21.json,ESP-KSA,2026-06-21,,3,,,0.89,0.77,1,6.37,True,4-0,37.39
esp_ksa_2026-06-21.json,ESP-KSA,2026-06-21,,4,,,0.37,0.38,0,3.36,True,4-0,37.39
esp_ksa_2026-06-21.json,ESP-KSA,2026-06-21,,5,,,0.5,0.54,1,-0.51,False,4-0,37.39
esp_ksa_2026-06-21.json,ESP-KSA,2026-06-21,,6,,,0.33,0.33,0,2.53,False,4-0,37.39
esp_ksa_2026-06-21.json,ESP-KSA,2026-06-21,,7,,,0.91,0.85,1,3.17,True,4-0,37.39
esp_ksa_2026-06-21.json,ESP-KSA,2026-06-21,,8,,,0.24,0.28,0,4.05,True,4-0,37.39
esp_ksa_2026-06-21.json,ESP-KSA,2026-06-21,,9,,,0.84,0.65,1,12.9,True,4-0,37.39
esp_ksa_2026-06-21.json,ESP-KSA,2026-06-21,,10,,,0.07,0.18,0,5.47,True,4-0,37.39
ger_civ_2026-06-20.json,GER-CIV,2026-06-20,,1,,,0.56,0.57,1,1.51,False,GER 2-1 CIV,44.16
ger_civ_2026-06-20.json,GER-CIV,2026-06-20,,2,,,0.65,0.65,1,2.63,False,GER 2-1 CIV,44.16
ger_civ_2026-06-20.json,GER-CIV,2026-06-20,,3,,,0.46,0.52,1,-3.72,False,GER 2-1 CIV,44.16
ger_civ_2026-06-20.json,GER-CIV,2026-06-20,,4,,,0.43,0.49,0,8.15,True,GER 2-1 CIV,44.16
ger_civ_2026-06-20.json,GER-CIV,2026-06-20,,5,,,0.22,0.27,0,4.88,True,GER 2-1 CIV,44.16
ger_civ_2026-06-20.json,GER-CIV,2026-06-20,,6,,,0.18,0.44,0,18.7,True,GER 2-1 CIV,44.16
ger_civ_2026-06-20.json,GER-CIV,2026-06-20,,7,,,0.53,0.54,0,2.65,True,GER 2-1 CIV,44.16
ger_civ_2026-06-20.json,GER-CIV,2026-06-20,,8,,,0.66,0.69,1,0.07,False,GER 2-1 CIV,44.16
ger_civ_2026-06-20.json,GER-CIV,2026-06-20,,9,,,0.4,0.46,0,7.5,True,GER 2-1 CIV,44.16
ger_civ_2026-06-20.json,GER-CIV,2026-06-20,,10,,,0.7,0.69,1,1.78,True,GER 2-1 CIV,44.16
ger_cur_2026-06-14.json,GER-CUR,2026-06-14,,1,Will Curacao be caught offside 2 or more times?,tier2_realdata,0.38,0.39,0,5.05,True,Germany 7 - 1 Curacao,72.47
ger_cur_2026-06-14.json,GER-CUR,2026-06-14,,2,"In the second half, will Germany have more shots on target than Curacao?",tier2_realdata,0.83,0.84,1,1.77,False,Germany 7 - 1 Curacao,72.47
ger_cur_2026-06-14.json,GER-CUR,2026-06-14,,3,Will Curacao commit more fouls than Germany?,tier2_realdata,0.48,0.66,0,23.36,True,Germany 7 - 1 Curacao,72.47
ger_cur_2026-06-14.json,GER-CUR,2026-06-14,,4,Will Curacao receive more cards than Germany?,tier1_market,0.59,0.61,0,4.85,True,Germany 7 - 1 Curacao,72.47
ger_cur_2026-06-14.json,GER-CUR,2026-06-14,,5,Will Germany be caught offside 2 or more times?,tier2_realdata,0.43,0.54,0,13.79,True,Germany 7 - 1 Curacao,72.47
ger_cur_2026-06-14.json,GER-CUR,2026-06-14,,6,Will Germany win the match?,match_winner_deferred_market,0.94,0.92,1,1.64,True,Germany 7 - 1 Curacao,72.47
ger_cur_2026-06-14.json,GER-CUR,2026-06-14,,7,Will the match have 2 or fewer total goals?,tier1_market,0.16,0.25,0,7.17,True,Germany 7 - 1 Curacao,72.47
ger_cur_2026-06-14.json,GER-CUR,2026-06-14,,8,Will the second half have 2 or more total goals?,tier1_market,0.67,0.6,1,8.19,True,Germany 7 - 1 Curacao,72.47
ger_cur_2026-06-14.json,GER-CUR,2026-06-14,,9,Will Curacao have 3 or more shots on target?,tier2_realdata,0.42,0.32,0,-3.11,False,Germany 7 - 1 Curacao,72.47
ger_cur_2026-06-14.json,GER-CUR,2026-06-14,,10,Will Leandro Bacuna have at least 1 shot on target?,tier1_market,0.21,0.32,0,9.76,True,Germany 7 - 1 Curacao,72.47
gha_pan_2026-06-17.json,GHA-PAN,2026-06-17,,1,,,0.42,0.48,0,7.02,True,GHA 1-0 PAN,68.01
